content,score
the linked devices don't have synced contacts any more.,1
very beautiful,5
most useful,5
nice app,1
nice,5
"the app keeps opening links in it's browser even after turning off the ""open links in app"" setting. fix this.",1
super,5
full of glitches,1
bhot achiiii ha apo,5
"Please add a message scheduling feature so users can send messages automatically at a specific time (e.g., birthday wishes at midnight). This would improve usability a lot",5
good,4
document photo download time whatsapp phone lag why developer fully disturbance,2
My WhatsApp two step verification code I forget,1
nice,5
I cant download it,1
Yeah,5
Not sure yet 🤔,5
purana ID nahin mil raha hai,1
I like this app,5
whats app is a good massaging app,4
very good 👍,5
i have problem with my accont on this phone can you please give me a help,5
very good,4
I can't fully record my voice massage it's suddenly stopped,5
Bru king,5
Mera WhatsApp nahi chal raha he,5
this is very helpful to communicate with others and this is advanced type of technology,5
shabab,5
💯,5
friends is godgift.,5
delite,5
working 💪 for me,4
nice,5
good,5
password nahin lag raha hai vivo y20 mobile please solved,5
i like it a lot,5
this app it too fine,4
it is a very good app to communicate with our family members and friends who are far from us now,5
nice,5
great,1
nice,5
best,1
okay,5
Very nice 👌👌,5
it is a good app for business,5
the Best,5
correct very good Ellated confirm,5
simple.reliable.private.,5
"WhatsApp honestly, it's very good for sending messages, voice note and so on and I use it everyday . but when it is time to update always remind us a day before. WhatsApp is very nice",5
not for me,1
I am using Whatsapp for business but my Whatsapp automatically logged out and give me time for 24 hours please solve my Whatsapp problem so I can start my work regularly,1
very satisfied,5
nice,3
better,5
i am a businessman . i have no problems after this app i like so mch,5
best app,5
I love it,5
Amazing,4
it makes me chat free for everyone,5
need to improve voice calls,3
nice,5
good,5
it's cute boy ⚡😘,5
“My WhatsApp account is under review. Please check and restore my account.”,5
"It was good use, but the very utter problem is that if something goes wrong like some glitch in the login it erases all the data including storage. So u can't find the old one. Though it has backup option to the mail what if you haven't backup ur data for short time and then something goes wrong you can't find your data including chats and media. It's a very utter disappointing issue.",1
"The start chatting feature is useless , it is disturbing",4
Nice,5
nice 👍,5
midium parfamance,2
"I may suggest that WhatsApp should have to add some online group games or two players games with some variety such as , ludo, fighting game , among us type game , superhero type ,animal hunting game or racing... which makes the WhatsApp my one and only app",4
ಗುಡ್ app ಅಷ್ಟೇ 🤪😄,5
Best social Media,2
My account band boy please don't band my account,2
So good,4
nice app,5
Social media meet all people Good apk,4
The WhatsApp is not in use at present,5
in realme 15 pro hd whatsapp status not. send and hd option not available in status,1
"it's very good app for communication and connecting with people. But since some day I saw a problem in my WhatsApp, which is that lockchats are not open ... I can't unlock and clear chats because of many documents and information is there. I don't know why it's happening. when I enter the lock chat option and tap on the lock chat it's not working. Please fix it ASAP or add a feature of unlock chats with out clear chats.",2
viry nice,5
Excellent discovery,5
ok,5
Good whatsapp app,2
it really makes things better,5
whatsapp update please,5
nice,5
Good,5
Nice one,5
برنامج زفت,1
very nice,5
good,1
working bad,1
good,1
good,5
good,5
Good,5
very nice aap,5
THE APP IS A VERY GOOD TO USE SO I URGED everyone TO USE THIS APP.,5
So helpful,5
व्हाट्स एप एक श्रेष्ठ ऐप है,5
This app is good and nice to everyone use this app because u can have fun with this app with your family and friends and it very good so that u can communicate with anybody,5
World best app for messaging,5
"The app is fantastic not gonna lie, its an easy way for communication.! but i think it would be way much better if we were allowed to change themes like for the whole app honestly,because dark mode and light mode is getting wearying. Other than that tho its great!!",4
nice 👍,5
my WhatsApp don't login,5
teeima kasih semoga saja lancar,5
awesome stuff,5
wow,5
super,5
it a good app,5
উদজগ,5
zee best,5
Best app,3
update bahut aata hai,3
I have a problem sent my pictures,5
boring,1
nice appp,5
bad I says that something is wrong with my what upp account,1
But in this app add sd card storage location & launch a lite version of this app.Birthday reminder add .Add about permenent.While sending video make a option to add music in it.I change setting to not auto download images but still after update it again started improve this thing.Add a option that when send a photo/anything.Delete after send auto after few days.Add more filter&more enhancement for upload & sharing in any device.Make ui more friendly and so that anyone can use.Add birth reminder,5
very bad,1
please upgrade the status video and picture quality. you make our post become crack and ugly,4
Whatsapp messenger is really good but I'm rating it a two because it's been misbehaving badly. It logged me out and has refused to log back in since yesterday. I've uninstalled it and installed it again. Still the same issue. Please work on this very quickly.,2
"Works for me personally (old account, old #), but I don't use it often. Total fail for a highjacked phone number (new account, 2yr #). Could not set up account on a number held for 2 years, despite setting up 2FA and PIN, because previous phone # owner set it up before giving up the #, and now they won't let it go. They have 2FA set up and log me out when I try to set up the new account with our rightful # (we have the SIM for it, it's valid). Process doesn't work. Bot couldn't help either.",2
perfect 👍,5
Excellent,5
good,5
nic,5
good,5
good,5
Very reliable💯,5
good,5
Am having issues with my Whatsapp,5
"￼ Help Center   About using one WhatsApp account on multiple phones, or with multiple phone numbers More Your WhatsApp account can only be verified with one registered phone number. It's not possible to add a second phone number to your account. There is no option to have a verified WhatsApp account with two different phone numbers. WhatsApp's multiple account feature allows you to have two different accounts on a single mobile device. To register a second account on WhatsApp, you will nee",5
"after the recent update it has come to my notice that I am unable to access the WhatsApp system folder in the My Files section where in we find the Media file to delete unnecessary or outdated images, documents,videos,voice notes and so on from the phone memory to maintain sufficient space for upcoming data. I am using a Samsung M 05 android 16 phone. please make it available and update the same",2
very good 👍,5
प्लीज रिक्वेस्ट है मेरा व्हाट्सएप ठीक कीजिए मैं दिल सेदुखी हूं हमें माफ कर दो,5
Good,5
why do you always deactivate my account and I don't like it,5
Good and reliable,3
Super.,5
Thinking good,5
"i ALWAAAYYYYSSS use the official whatsapp but this time my number get banned and can't log back in, it told me to download the official whatsapp, what should i do?? do something about this issue",1
if the WhatsApp works right ✅️ now I will be so grateful,5
good,5
No WhatsApp message must be deleted without my permission.,5
Good 👍,5
why my first message not seems 🥺bcs i check everyday but nothing new 😤,1
Please WhatsApp we need whatsapp to upgrade to something like telegram When you change phone you will never loose anything when you log in,5
right,1
"Wow the app is so amazing No problem, just soft touch",5
"whats up is Nice we are used this apo, Thank you.",5
"It is a great app, user friendly and most importantly it helps me with it AI support. Not just only a messaging app, try it you will love it.",4
very good useful,5
they are trying their best,5
I install whatsapp from play store but the whatsapp refuse to open that the App is not genuine.,1
super,5
still needs some stiches,4
nice one,5
Infact a great app ... but I want to say that whatever the settings are done by Admin the message saving power should every time be in hand to reader... so many times I found a good message but due to the special settings i can't do (save or mark the *star*),3
Very helpful,5
"Very fast, convenient and reliable.",5
I love this app so dearly especially that view once I cannot screenshot it wonderful,5
aswome,5
I feel interest to join the team,5
This app can not access it says phone number then sending code then doesn't send code and says download.,1
what's APP is sweet,5
it told me to update it but nothing seems updated,1
👍🤣 good,5
Good apps,5
good yo talk to fam,5
Good app,5
no tiene per fill,1
awesome app ever,5
Easy to use. Very good picture and sound.,5
It is so relaxing like reading messages and most importantly sending of voicenotes and viewing of status like whatspp is one in a million,5
Whatsapp is really a nice platform to out to friends and and family,3
I can't update my status anymore,5
It's Good😝I don't have words to explain😅,5
blessing,3
nice,4
struggling to download WhatsApp,5
love,5
it's been fun,5
satisfactory,5
I think WhatsApp is the best app that I use in whole my life because it's makes me happy when I am chatting with my friends and girlfriend 😘😘,5
well,5
Help us to open it,5
why did this WhatsApp always bring storage full,5
Good,4
best communication app ever no issues at all,5
"WhatsApp Communities don’t work well for events. If you create an event, anyone who joins later can’t see it—even if it’s pinned. Replies show “message unavailable,” there’s no way to share or repost it, and admins can’t add people to the RSVP list. The only fix is recreating the event, which resets RSVPs and spams notifications. Not usable for growing groups.",1
Looking for work,5
Nice app so far then they added unwated ai I cant disable it. so annoying I just want to send text I dont want ai thing always appear on my screen,1
Good,5
this is the best app I have ever used since four years with my friends,5
I found no fault for this app I have been using this app.,5
best application,5
WhatsApp is a good app,5
Okay,5
I love it but they always kill it and also telling me to update it,5
love dis stuff,5
interesting,5
good,5
soryi,5
Adimasu,5
"Very good, but the keyboard translator keeps not working.",4
excellent,4
official whatsapp,2
awesome,5
amazing and lovin but when downloading it should be a little faster than it was now thank you for your understanding,5
"1//5/26 new issue detected! press mic to talk,the button becomes haywire and slide up to keyboard height!!🤦Omg!!",1
Good app for sure,5
I don't know what's happening to my WhatsApp,4
fast and reliable,5
En los chat que tengo bloqueados para solo poder entrar yo con mi huella dactilar no me deja entrar en los ajustes de ese contacto y eso me fastidia porque ya no puedo desbloquear al contacto que necesito desbloquear quiero que arreglen esto porque es importante para mi y muchas personas que le esta pasando...,5
This app is the most fastest and reliable app that allow you to do business and other,5
"Makes communication in anyway that suits you, verbal, video, live video feed, photos, location tracking, etc",5
moves freely and faster. good place to vibe in and have fun with friends and family,5
"I don't think I will open this app again 😟😟😟, I think is the best before but now,is not because am not Into any spam activity but yet dey keep blocking my account and it as cause me a lot of loss on my business, is very painful 😫😫😫😩😩",1
this app have voice messaging🥉🥈🥇🧜‍♀️🧜‍♂️🧜. this app have file sharing 🕶️😎🕶️😎🍧🤝🤝🫱🏻‍🫲🏿👥👤🥘🥘🥘🥙🦈📐🪒🧖🏿‍♂️🧽🧼🧽🧼👠👠🧖🧖🛁🧖🧖‍♂️🧽🍰🚿🩳💉🗣️🗣️🗣️🗣️🙀😱🥺😱🙀🤯🤯🤯🤯 🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯,5
My account always get blocked,4
good app,5
Greet job,5
Good but crams in AI - won't let you remove Meta AI,3
chatting with friends,5
I love it,5
Good,1
this app is indeed good .but they should work on the restrictions part like because of bulk messages they restrict an account that's unfair most of the messages are from clients and one will losses all his contacts and clients because they banned the account That' messed up man,2
yes it's very very useful for people,5
good,4
very fake this days coz everytime it blocks my account for 24hours for nothing so guys go for imo or telegram than WhatsApp,1
WhatsApp helps send messages faster and the app is Soo good,5
Excellent,5
alright,3
Awesome,4
good and reliable,1
very good👍...,5
ok good.,5
Amazing,5
"My WhatsApp no de work anymore, Why?? But if I log in another number it will work",5
perfect,5
Absolutely amazing app,5
good 👍,5
"Just Updated this from 2019, lol.",5
helping a lot,5
very reliable and easy to use,4
i can't uninstall my WhatsApp I don't know why.,1
"it's great, communication is very easy n fast",5
WhatsApp is a good app which every one needs to have not minding their many updates.,5
whatsapp yang buat PC sekarang jelek banget sumpah,2
cool,5
good,3
nice 👍,5
i so much love this app been using it for more than 2 years now,5
good service😊,5
"Stop making stupid, unnecessary updates to the app! Restore the option to have a permanent 'about'",1
"End to end encryption is a scam, meta can unrestricted access to your private files and sells that data",2
is better than email and the best communicatio,5
I can't download whatapp business name that I have changed,5
it makes communication easier,5
love the app so much coz it fun,5
salute,5
it is very good 👍 👌 👏 😊 ☺️ 😀,5
ok mm 👌 supper,5
"Go to for secure messages, has worked great for years. Minor question: no longer synchs with Blackberry Hub that quite a few of us actually use. Disconnect happened end of February 2026.",5
very fast and easy to use.,4
🥰🥰🥰,5
good,5
It has been fun and good can l have it back,5
good 😊👍👍,5
very good,5
It is very good,1
this application is so cool,5
My number is banned from WhatsApp kindly reactivate it WhatsApp account review WhatsApp new problem My number :,5
the application is so easy to operate and now highly secured,5
invasive meta Ai everything is monitoring I'm normal people for wats????????,1
good,2
good app,1
So trust,5
I love it but it doesn't have chat with AI I wish you would provide that,1
this app is good,4
It's nice,5
it doesn't take much data to install,5
good,5
good to have this app,5
its pretty good,5
Lethabonkosi,5
Mu Ok,2
This is the best way of communicating but this updating to the latest version makes it discasting,3
video call bad quality,5
nice,5
So nice,5
Very good,5
"worst messaging app ever, I keep getting banned for no reason,I get banned,I requested for a review,got the account back,then I'll get banned the following day,I don't spam any messages and I use the official app too",1
Amazing 👏,5
👍,5
Easy to use.,5
normal,5
well,5
I recommend it,5
❤️❤️❤️,5
pls don't ban my account,5
Cant even use the app,1
very good app,4
GOOD,2
verification problem,1
very good and reliable,5
very good 💯,5
wow 😲 I didn't have issues on my WhatsApp the only issues I used to have is updating but Whatsapp is perfect,5
is too smart and faster 🔥🤘🏼,5
"somebody reported me of a spam, which I do not know what I've done for the person to report me as such. Since then Whatsapp has been logging me out every three days. you guys should do something about it for me",1
Whatspp doesn't work,5
great,5
"Notification problems while screen is off, o sound, No notification when screen is on unless the app is open Xiaomi 17 pro max, CN rom in Europe",3
you are mad,5
Nice working,5
I can see people I haven't seen in a long time.,5
Okqy,5
okay,5
excllent,5
nice,5
FINE.,5
it cool😎,5
buena,5
Autan mama,4
Excellent,5
good for communication,3
"Dear WhatsApp Support Team, ​I am writing to report a recurring issue where my account is being temporarily banned for 24-hour periods. I strictly adhere to the WhatsApp Terms of Service and do not engage in spam or unauthorized activities. ​This frequent interruption is affecting my essential communications. I request a thorough manual review of my account to identify and resolve any technical errors or false flags causing these bans. Please ensure my access is fully restored and protected from",5
very good messaging calling,5
nice app,5
Iko safi,5
Nice,5
it's a nice Good app in communication,5
super,5
makes communication easier,5
I can't use watsup why?,5
nice app,5
it's the best,5
Who else that gets mad at someone maybe a lover or a close friend and deletes the app 😂😂But without for a day you are like dead and then re-install it immediately 😂🤔🤔,5
the app is superb,2
it's easy to use 😄,5
"I am facing an issue on WhatsApp where my contacts appear twice when I set my status privacy. Whenever I apply status privacy settings, the same contacts are shown in duplicate, which makes it confusing to select or view them properly. However, when I remove the privacy settings, the contacts appear normal and single.",1
brilliant. when your on your own its great to chat with your family on wattsapp.,5
fast app,5
give option to make About section permanent again,1
my account is band,5
super,5
love 😘 it,5
excellent,5
it very good in here,4
~Glady😃,5
Whatsapp banned solution,1
I hate how i downloaded it bit now it says it's fake,1
good service,5
"This is a good app and still I think if you guys can give the ability to set themes and wallpapers seperately for light mode and dark mode like in iphone to the android also, please consider this and other than that the app is awesome",4
Isiwe inasumbua akanti yangu,5
BHAI What sapp mat useg karo bekkar chez hai,1
uncertified very much slowly,1
its good,4
it's good,5
best application,5
it's the most created sharing app that has ever existed,5
great and lovey,5
GOOD,5
my account does not work in this app,1
since I updated the app I can't hear any audio in my status or someone elses and when I want to text someone my text space goes up high and I hate it,3
Best communication app👍👌,4
nice 👍🙂,5
good,5
nice app to used and we'll calm,5
good,3
Great messaging app,5
it usually keep me engaged and take me to different people with zero issues,5
good,3
Hi i love this Whatsapp,5
"I've been using WhatsApp for years, and it's a very amazing app for communication. The only thing I'd like to be added is for voice notes to be able to be played on the pop up message instead of entering the app and playing the VN there.",4
"Its tiredness app,any time i enter my account it says that need official whaTsaap",1
updating is too slow,1
It good,2
I love this app,5
I am using watsaff since 2019 it's so effective and the most pravaite app in our all social media. it's so good and,5
yeah it's a very good app,4
This is very good because you can speak to your relatives and friends all over the world 🌎 only one problem I've used it for 2 months and it's just started to say your no longer allowed to use WhatsApp 😭😔 please fix this problem,2
it the best,5
far better,5
exceptional,5
Want more updates,5
good,5
It's the most user-friendly app for communications.,4
Best chatting app ever,5
It's good I like it,5
The best messenger,5
very helpful,5
it's the best.,5
why is my what'sapp showing not official Whatsapp,4
Good,5
nice app,5
👍🏼 i love this app 100per good 👍🏼,5
thanks full but I am don't help your WhatsApp team,5
awesome 😎,5
mediocre,5
it's so funny and helpful,5
the al on it provides false information,1
good,5
thik app is good fecility,4
Super,4
love it,5
This app is useful,5
New bro,5
I love this app because it makes me feel better when ever am angry,5
Good,4
excellent,5
so many updates.,1
Naice,4
so nice to use this ups thank you,5
thanks whatsapp,5
very exciting,4
do cool that I enjoy it the most,3
i' get every messages within a second,5
Improving,1
jai shree krishna,5
Its not opening,1
Service is dope,5
obviously Whatsapp is best,5
Automatic Ban,1
nice one,5
This app is the best of all apps,5
good useee and reliable,5
It's fine!!,5
A safe and secure messaging app ever.,5
super,5
Very fast and solving problems,3
I want to open my whatsApp,2
THIRD CLASS SERVICE..... EVERYDAY GET RESTICTIONS EVEN IF YOU HAVE NOT VOLATED ANY RULES AND REGULATIONS...VERY WORST APP....NOT HAPPY WE NEED ZOHO IN INDIA SOON,1
"is the best app for encrypted chats. FaceTime video calls. groups, nothing is stored on any server anywhere just your data on your phone.",5
Always saying Spam. While I'm using it wiz my own Number....... why?,1
l want go to whatsapp,5
I think it's very clear vision l,5
good,5
very good,5
better late than never,5
very nice ❤️❤️❤️❤️❤️,5
Please provide these features: 1. Personal chat back 2.only phone book numbers can recive whatsapp massege,4
I love WhatsApp more than. Everything in my phone because it's free quick and honest and I thanks meta company,5
perfect,5
best whatsapp ❤️,5
super,5
"i really enjoy using Whatsapp,the problem I am having is this constant update, it's becoming stressful and tiring.",3
Ok,5
please unbanned my account,5
so good,5
good,5
Nice App...And Amazinggggggg,5
nice,5
Audio calls always network unstable,1
I can't open my WhatsApp,5
Great,5
is too bad to connect in my area,1
My account was banned today for no reasons. Please help me restore it.,1
حالي عل من معي,5
I have to change my review. WhatsApp is no longer useful.they firstly have a very invasive feature where you see the status of people who are not save on your phone. Even if you hide their staseses that doesn't work you will see them whether you like it or.secondly they have included ads in the stase and community channels,5
Very exciting 🔥 and wonderful experience. it's a great app for communicating with distant friends and family,5
maine kuch kiya bhi nahi automatic not verified bataraha ghatiya service of watsup team member I will always follow watsup rule and regulation but this problem face me bad service of watsup team or ab mai arattai messanger use kar raha hu good by,1
Goood,5
good,5
nice,5
"Please give any creative features to use for status contents. For example, while typing in status we can adjust the font size both word by word or line by line, instead of plain coour background, we can even keep images or own designs we like to create, not only font but also we can type by multiple colors of every letters or words we wish, importantly we can adjust our audio files kept in our WhatsApp status. 🙏",4
"very useful app. I've been using this for years now. It's simple, it's reliable and truly your privacy is respected.....",5
"Please, work on the media quality...",1
this app good to me i make business and talk with mu Costumer and can send our location,5
this app is ok,5
its ok,5
it was easy and no stress,5
Install 100% but not open whats app What should I do?,1
Easy communication,5
nice,5
I didn't get my otp please help,1
Easy to download and simple to use,4
Excellent quality 👌,5
U get burned for no reason,1
WhatsApp is now a necessity in my everyday life. If I can background voices on the video's sticker or the GIF; that would be the best,4
Its easy to use WhatsApp call and message to do groups call and many thing,5
vgood,5
so good,3
Really good app,5
it keeps saying request review every day and i I have to wait 24 hours,1
"WhatsApp is the good messaging app of all the time,, it work smoothly even under slow network👍",5
👍 unbelievable 😍,5
it's good,5
It's such an amazing app but sometimes i feels some difficulties in it regarding call,5
wow 😳😲,5
good,5
Great App,5
Good,5
good,5
Good,5
Best,5
Is good,4
good,3
This app was good to do conversation,5
", goodddddd",4
good 👍,4
"I can't use voice notes to reply to a status shared, which it isn't like this before. I wonder why the feature has been removed",2
Krishna naam se WhatsApp banana,2
Very Good,5
one of the best app ever created,1
Hii whatsapp team . My whatsapp account on is continuously being kept on restriction and now that is been closed. I am a student and i have my exams ahead. I follow all terms and conditions of whatsapp team. I don't know why my account is closing again and again. It is humbly request you tou please restore and normaliza my account as soon as possible. Thanks alot.,1
If you're a parent pay attention that you cannot block provocative public channels in the new update tab for your kid?,1
avatar is not there in my account,1
veryyyyy gooddd apppp,4
Whatsapp filter button not showing up even though I already allowed the camera effects on privacy,4
Not that good,5
Excellent,5
reliable,5
Good,5
supar,5
very useful app for every one,5
WhatsApp kept spamming my account for no reason,5
I have been trying to recover my account it keep telling me that I'm using the inappropriate whatsapp,1
very useful,5
nice appp,5
Important apps,5
good for everyone,5
really a nice app but the annoying part is always updating and when u don't u loose all important data,5
nice app😍😍😍,5
A very nice app,5
fantastic 😍,5
it very bad app don't download this,5
best,5
good 👍,5
great app ever,5
very good for communication,5
good,4
😃,5
good experience easy to connect the friends,5
it's good,4
Super cool thanks for sharing msg,4
So beautiful app,5
becomes a need for a standard individual,4
"It was a great messenger app with all the features one might want. But due to the new privacy policy, I am giving this app 1 star. Hope they revoke it soon",3
This app is the best app ever.,5
IF ANYONE SEES THIS PLEASE PUT YES SO MY MESSAGE GETS SENT !!!!!!!!!!!!!!! bad experience they banned my whatsapp account after it was hacked and lost i tried to retrive it but now they banned it and i really need it back for work and meetings as soon as possible i cant contanct whatsapp at all since they are not allowing me. WHATSAPP I HOPE YOU REPLY AND HELP AS QUICK AS POSSIBLE FOR MY WORK !!!!!!!!!!!!!!!,1
good app,5
nise,5
i need to attanding my details in whatsapp,5
this is good,5
very nice 👍,5
"One of the worst thing that happened is last all the whstsapp messages disappeared and the app got itself restarted. And when i tried to restore chats, it didn't support me. 2.9 GB messages history and now nothing left. I hope i get a suitable explanation and how to resrore chats.",1
good,5
I will look like to download it,5
good,4
التطبيق بقا مش راضي يدخل معانا تاني,5
it's my favorite messaging app I love it,5
nice one it's useful,5
this app is awesome,5
good,5
stop making this app keep wanting me to start a chat with people. so obnoxious,2
please remove the ads feature 🙏,4
wow,4
good everything,5
very good,5
love it,5
I personally am happy with this app an have no problem thank u,3
Soo good,3
It recently stopped working,1
bra,5
hello whatsapp problam please help me,1
best app for ever,5
it's been the best app I've ever used in 9 years,5
this version of Whatsapp no voice note in meta AI,5
good,5
Unnecessary features,2
good,4
"De verdad qué si me gusta está plataforma, se las recomiendo!-",5
kinda good,2
I like it,3
⭐⭐⭐⭐⭐⭐⭐⭐⭐,5
i would like to request an updated calling interface,5
communicating with friends,5
The WhatsApp is not updating why?,5
not because of making new what's app is too difficult just because of not receiving a 6 digit code,5
Happy,5
